 -- Frame 349 Framerate: 81.3 [Very Good Framerate]
 -- Frame 350 Framerate: 81.5 [Very Good Framerate]
 -- Frame 351 Framerate: 79.9 [Very Good Framerate]
 -- Frame 352 Framerate: 81.6 [Very Good Framerate]
 -- Frame 353 Framerate: 78.1 [Very Good Framerate]
 -- Frame 354 Framerate: 78.7 [Very Good Framerate]
 -- Frame 355 Framerate: 78.7 [Very Good Framerate]
 -- Frame 356 Framerate: 78.4 [Very Good Framerate]
 -- Frame 357 Framerate: 78.5 [Very Good Framerate]
 -- Frame 358 Framerate: 79.6 [Very Good Framerate]
 -- Frame 359 Framerate: 77.6 [Very Good Framerate]
 -- Frame 360 Framerate: 79.4 [Very Good Framerate]
 -- Frame 361 Framerate: 78.7 [Very Good Framerate]
 -- Frame 362 Framerate: 77.9 [Very Good Framerate]
 -- Frame 363 Framerate: 77.6 [Very Good Framerate]
 -- Frame 364 Framerate: 79.6 [Very Good Framerate]
 -- Frame 365 Framerate: 73.2 [Very Good Framerate]
 -- Frame 366 Framerate: 73.0 [Very Good Framerate]
 -- Frame 367 Framerate: 74.5 [Very Good Framerate]
 -- Frame 368 Framerate: 78.8 [Very Good Framerate]
 -- Frame 369 Framerate: 77.7 [Very Good Framerate]
 -- Frame 370 Framerate: 82.3 [Very Good Framerate]
 -- Frame 371 Framerate: 79.6 [Very Good Framerate]
 -- Frame 372 Framerate: 75.6 [Very Good Framerate]
 -- Frame 373 Framerate: 78.4 [Very Good Framerate]
 -- Frame 374 Framerate: 77.0 [Very Good Framerate]
 -- Frame 375 Framerate: 86.6 [Very Good Framerate]
 -- Frame 376 Framerate: 117.9 [Very Good Framerate]
 -- Frame 377 Framerate: 79.3 [Very Good Framerate]
 -- Frame 378 Framerate: 75.0 [Very Good Framerate]
 -- Frame 379 Framerate: 76.7 [Very Good Framerate]
 -- Frame 380 Framerate: 86.2 [Very Good Framerate]
 -- Frame 381 Framerate: 77.1 [Very Good Framerate]
 -- Frame 382 Framerate: 75.1 [Very Good Framerate]
 -- Frame 383 Framerate: 77.4 [Very Good Framerate]
 -- Frame 384 Framerate: 74.9 [Very Good Framerate]
 -- Frame 385 Framerate: 75.1 [Very Good Framerate]
 -- Frame 386 Framerate: 97.7 [Very Good Framerate]
 -- Frame 387 Framerate: 101.8 [Very Good Framerate]
 -- Frame 388 Framerate: 101.1 [Very Good Framerate]
 -- Frame 389 Framerate: 96.5 [Very Good Framerate]
 -- Frame 390 Framerate: 90.6 [Very Good Framerate]
 -- Frame 391 Framerate: 84.5 [Very Good Framerate]
 -- Frame 392 Framerate: 87.2 [Very Good Framerate]
 -- Frame 393 Framerate: 87.2 [Very Good Framerate]
